R,G,B,RGB-HEX,escol-number
0.1111111111,0.7777777778,0.5555555556,#1CC68D,10
0.1111111111,0.7777777778,0.6666666667,#1CC6AA,14
0.1111111111,0.7777777778,0.7777777778,#1CC6C6,14
0.1111111111,0.7777777778,0.8888888889,#1CC6E2,14
0.1111111111,0.7777777778,1,#1CC6FF,14
0.1111111111,0.8888888889,0,#1CE200,10
0.1111111111,0.8888888889,0.1111111111,#1CE21C,10
0.1111111111,0.8888888889,0.2222222222,#1CE238,10
0.1111111111,0.8888888889,0.3333333333,#1CE255,10
0.1111111111,0.8888888889,0.4444444444,#1CE271,10
0.1111111111,0.8888888889,0.5555555556,#1CE28D,10
0.1111111111,0.8888888889,0.6666666667,#1CE2AA,10
0.1111111111,0.8888888889,0.7777777778,#1CE2C6,14
0.1111111111,0.8888888889,0.8888888889,#1CE2E2,14
0.1111111111,0.8888888889,1,#1CE2FF,14
0.1111111111,1,0,#1CFF00,10
0.1111111111,1,0.1111111111,#1CFF1C,10
0.1111111111,1,0.2222222222,#1CFF38,10
0.1111111111,1,0.3333333333,#1CFF55,10
0.1111111111,1,0.4444444444,#1CFF71,10
0.1111111111,1,0.5555555556,#1CFF8D,10
0.1111111111,1,0.6666666667,#1CFFAA,10
0.1111111111,1,0.7777777778,#1CFFC6,14
0.1111111111,1,0.8888888889,#1CFFE2,14
0.1111111111,1,1,#1CFFFF,14
0.2222222222,0,0,#380000,0
0.2222222222,0,0.1111111111,#38001C,0
0.2222222222,0,0.2222222222,#380038,0
0.2222222222,0,0.3333333333,#380055,7
0.2222222222,0,0.4444444444,#380071,7
0.2222222222,0,0.5555555556,#38008D,7
0.2222222222,0,0.6666666667,#3800AA,7
0.2222222222,0,0.7777777778,#3800C6,6
0.2222222222,0,0.8888888889,#3800E2,12
0.2222222222,0,1,#3800FF,12
0.2222222222,0.1111111111,0,#381C00,0
0.2222222222,0.1111111111,0.1111111111,#381C1C,0
0.2222222222,0.1111111111,0.2222222222,#381C38,0
0.2222222222,0.1111111111,0.3333333333,#381C55,7
0.2222222222,0.1111111111,0.4444444444,#381C71,7
0.2222222222,0.1111111111,0.5555555556,#381C8D,7
0.2222222222,0.1111111111,0.6666666667,#381CAA,7
0.2222222222,0.1111111111,0.7777777778,#381CC6,6
0.2222222222,0.1111111111,0.8888888889,#381CE2,12
0.2222222222,0.1111111111,1,#381CFF,12
0.2222222222,0.2222222222,0,#383800,0
0.2222222222,0.2222222222,0.1111111111,#38381C,0
0.2222222222,0.2222222222,0.2222222222,#383838,0
0.2222222222,0.2222222222,0.3333333333,#383855,7
0.2222222222,0.2222222222,0.4444444444,#383871,7
0.2222222222,0.2222222222,0.5555555556,#38388D,7
0.2222222222,0.2222222222,0.6666666667,#3838AA,7
0.2222222222,0.2222222222,0.7777777778,#3838C6,6
0.2222222222,0.2222222222,0.8888888889,#3838E2,12
0.2222222222,0.2222222222,1,#3838FF,12
0.2222222222,0.3333333333,0,#385500,5
0.2222222222,0.3333333333,0.1111111111,#38551C,4
0.2222222222,0.3333333333,0.2222222222,#385538,4
0.2222222222,0.3333333333,0.3333333333,#385555,4
0.2222222222,0.3333333333,0.4444444444,#385571,6
0.2222222222,0.3333333333,0.5555555556,#38558D,6
0.2222222222,0.3333333333,0.6666666667,#3855AA,12
0.2222222222,0.3333333333,0.7777777778,#3855C6,12
0.2222222222,0.3333333333,0.8888888889,#3855E2,12
0.2222222222,0.3333333333,1,#3855FF,14
0.2222222222,0.4444444444,0,#387100,4
0.2222222222,0.4444444444,0.1111111111,#38711C,10
0.2222222222,0.4444444444,0.2222222222,#387138,4
0.2222222222,0.4444444444,0.3333333333,#387155,4
0.2222222222,0.4444444444,0.4444444444,#387171,12
0.2222222222,0.4444444444,0.5555555556,#38718D,12
0.2222222222,0.4444444444,0.6666666667,#3871AA,12
0.2222222222,0.4444444444,0.7777777778,#3871C6,12
0.2222222222,0.4444444444,0.8888888889,#3871E2,12
0.2222222222,0.4444444444,1,#3871FF,14
0.2222222222,0.5555555556,0,#388D00,10
0.2222222222,0.5555555556,0.1111111111,#388D1C,10
0.2222222222,0.5555555556,0.2222222222,#388D38,10
0.2222222222,0.5555555556,0.3333333333,#388D55,10
0.2222222222,0.5555555556,0.4444444444,#388D71,12
0.2222222222,0.5555555556,0.5555555556,#388D8D,12
0.2222222222,0.5555555556,0.6666666667,#388DAA,12
0.2222222222,0.5555555556,0.7777777778,#388DC6,14
0.2222222222,0.5555555556,0.8888888889,#388DE2,14
0.2222222222,0.5555555556,1,#388DFF,14
0.2222222222,0.6666666667,0,#38AA00,10
0.2222222222,0.6666666667,0.1111111111,#38AA1C,10
0.2222222222,0.6666666667,0.2222222222,#38AA38,10
0.2222222222,0.6666666667,0.3333333333,#38AA55,10
0.2222222222,0.6666666667,0.4444444444,#38AA71,10
0.2222222222,0.6666666667,0.5555555556,#38AA8D,10
0.2222222222,0.6666666667,0.6666666667,#38AAAA,14
0.2222222222,0.6666666667,0.7777777778,#38AAC6,14
0.2222222222,0.6666666667,0.8888888889,#38AAE2,14
0.2222222222,0.6666666667,1,#38AAFF,14
0.2222222222,0.7777777778,0,#38C600,10
0.2222222222,0.7777777778,0.1111111111,#38C61C,10
0.2222222222,0.7777777778,0.2222222222,#38C638,10
0.2222222222,0.7777777778,0.3333333333,#38C655,10
0.2222222222,0.7777777778,0.4444444444,#38C671,10
0.2222222222,0.7777777778,0.5555555556,#38C68D,10
0.2222222222,0.7777777778,0.6666666667,#38C6AA,10
0.2222222222,0.7777777778,0.7777777778,#38C6C6,14
0.2222222222,0.7777777778,0.8888888889,#38C6E2,14
0.2222222222,0.7777777778,1,#38C6FF,14
0.2222222222,0.8888888889,0,#38E200,10
0.2222222222,0.8888888889,0.1111111111,#38E21C,10
0.2222222222,0.8888888889,0.2222222222,#38E238,10
0.2222222222,0.8888888889,0.3333333333,#38E255,10
0.2222222222,0.8888888889,0.4444444444,#38E271,10
0.2222222222,0.8888888889,0.5555555556,#38E28D,10
0.2222222222,0.8888888889,0.6666666667,#38E2AA,14
0.2222222222,0.8888888889,0.7777777778,#38E2C6,14
0.2222222222,0.8888888889,0.8888888889,#38E2E2,14
0.2222222222,0.8888888889,1,#38E2FF,14
0.2222222222,1,0,#38FF00,10
0.2222222222,1,0.1111111111,#38FF1C,10
0.2222222222,1,0.2222222222,#38FF38,10
0.2222222222,1,0.3333333333,#38FF55,10
0.2222222222,1,0.4444444444,#38FF71,10
0.2222222222,1,0.5555555556,#38FF8D,10
0.2222222222,1,0.6666666667,#38FFAA,14
0.2222222222,1,0.7777777778,#38FFC6,14
0.2222222222,1,0.8888888889,#38FFE2,14
0.2222222222,1,1,#38FFFF,14
0.3333333333,0,0,#550000,3
0.3333333333,0,0.1111111111,#55001C,3
0.3333333333,0,0.2222222222,#550038,3
0.3333333333,0,0.3333333333,#550055,7
0.3333333333,0,0.4444444444,#550071,7
0.3333333333,0,0.5555555556,#55008D,7
0.3333333333,0,0.6666666667,#5500AA,6
0.3333333333,0,0.7777777778,#5500C6,6
0.3333333333,0,0.8888888889,#5500E2,12
0.3333333333,0,1,#5500FF,12
0.3333333333,0.1111111111,0,#551C00,3
0.3333333333,0.1111111111,0.1111111111,#551C1C,3
0.3333333333,0.1111111111,0.2222222222,#551C38,3
0.3333333333,0.1111111111,0.3333333333,#551C55,7
0.3333333333,0.1111111111,0.4444444444,#551C71,7
0.3333333333,0.1111111111,0.5555555556,#551C8D,7
0.3333333333,0.1111111111,0.6666666667,#551CAA,6
0.3333333333,0.1111111111,0.7777777778,#551CC6,6
0.3333333333,0.1111111111,0.8888888889,#551CE2,12
0.3333333333,0.1111111111,1,#551CFF,12
0.3333333333,0.2222222222,0,#553800,5
0.3333333333,0.2222222222,0.1111111111,#55381C,3
0.3333333333,0.2222222222,0.2222222222,#553838,3
0.3333333333,0.2222222222,0.3333333333,#553855,7
0.3333333333,0.2222222222,0.4444444444,#553871,7
0.3333333333,0.2222222222,0.5555555556,#55388D,7
0.3333333333,0.2222222222,0.6666666667,#5538AA,6
0.3333333333,0.2222222222,0.7777777778,#5538C6,6
0.3333333333,0.2222222222,0.8888888889,#5538E2,12
0.3333333333,0.2222222222,1,#5538FF,12
0.3333333333,0.3333333333,0,#555500,5
0.3333333333,0.3333333333,0.1111111111,#55551C,5
0.3333333333,0.3333333333,0.2222222222,#555538,5
0.3333333333,0.3333333333,0.3333333333,#555555,5
0.3333333333,0.3333333333,0.4444444444,#555571,7
0.3333333333,0.3333333333,0.5555555556,#55558D,7
0.3333333333,0.3333333333,0.6666666667,#5555AA,6
0.3333333333,0.3333333333,0.7777777778,#5555C6,6
0.3333333333,0.3333333333,0.8888888889,#5555E2,12
0.3333333333,0.3333333333,1,#5555FF,12
0.3333333333,0.4444444444,0,#557100,5
0.3333333333,0.4444444444,0.1111111111,#55711C,4
0.3333333333,0.4444444444,0.2222222222,#557138,4
0.3333333333,0.4444444444,0.3333333333,#557155,4
0.3333333333,0.4444444444,0.4444444444,#557171,5
0.3333333333,0.4444444444,0.5555555556,#55718D,6
0.3333333333,0.4444444444,0.6666666667,#5571AA,12
0.3333333333,0.4444444444,0.7777777778,#5571C6,12
0.3333333333,0.4444444444,0.8888888889,#5571E2,12
0.3333333333,0.4444444444,1,#5571FF,12
0.3333333333,0.5555555556,0,#558D00,5
0.3333333333,0.5555555556,0.1111111111,#558D1C,4
0.3333333333,0.5555555556,0.2222222222,#558D38,10
0.3333333333,0.5555555556,0.3333333333,#558D55,10
0.3333333333,0.5555555556,0.4444444444,#558D71,4
0.3333333333,0.5555555556,0.5555555556,#558D8D,12
0.3333333333,0.5555555556,0.6666666667,#558DAA,12
0.3333333333,0.5555555556,0.7777777778,#558DC6,12
0.3333333333,0.5555555556,0.8888888889,#558DE2,14
0.3333333333,0.5555555556,1,#558DFF,14
0.3333333333,0.6666666667,0,#55AA00,10
0.3333333333,0.6666666667,0.1111111111,#55AA1C,10
0.3333333333,0.6666666667,0.2222222222,#55AA38,10
0.3333333333,0.6666666667,0.3333333333,#55AA55,10
0.3333333333,0.6666666667,0.4444444444,#55AA71,10
0.3333333333,0.6666666667,0.5555555556,#55AA8D,10
